interaccion_id,user_id,producto_id,tipo_interaccion,fecha,detalle_interaccion
interaccion_0,user_0,producto_0,compra,2023-01-01,{'cantidad': 1}
interaccion_1,user_1,producto_1,click,2023-01-02,{}
interaccion_2,user_2,producto_2,compra,2023-01-03,{'cantidad': 1}
interaccion_3,user_3,producto_3,review,2023-01-04,{'comentario': 'Excelente libro'}
interaccion_4,user_4,producto_4,compra,2023-01-05,{'cantidad': 1}
interaccion_5,user_5,producto_5,click,2023-01-06,{}
interaccion_6,user_6,producto_6,compra,2023-01-07,{'cantidad': 1}
interaccion_7,user_7,producto_7,review,2023-01-08,{'comentario': 'Muy buena calidad'}
interaccion_8,user_8,producto_8,compra,2023-01-09,{'cantidad': 1}
interaccion_9,user_9,producto_9,click,2023-01-10,{}
interaccion_10,user_10,producto_10,compra,2023-01-11,{'cantidad': 1}
interaccion_11,user_11,producto_11,click,2023-01-12,{}
interaccion_12,user_12,producto_12,compra,2023-01-13,{'cantidad': 1}
interaccion_13,user_13,producto_13,review,2023-01-14,{'comentario': 'Excelente producto'}
interaccion_14,user_14,producto_14,compra,2023-01-15,{'cantidad': 1}
interaccion_15,user_15,producto_15,click,2023-01-16,{}
interaccion_16,user_16,producto_16,compra,2023-01-17,{'cantidad': 1}
interaccion_17,user_17,producto_17,review,2023-01-18,{'comentario': 'Muy buena cámara'}
interaccion_18,user_18,producto_18,compra,2023-01-19,{'cantidad': 1}
interaccion_19,user_19,producto_19,click,2023-01-20,{}
interaccion_20,user_104,producto_17,review,2023-07-17,{}
interaccion_21,user_30,producto_31,compra,2024-06-13,{}
interaccion_22,user_33,producto_54,click,2024-05-30,{}
interaccion_23,user_34,producto_68,review,2023-12-14,{}
interaccion_24,user_105,producto_89,review,2024-02-05,{}
interaccion_25,user_108,producto_116,click,2023-12-18,{}
interaccion_26,user_36,producto_98,compra,2024-04-12,{}
interaccion_27,user_63,producto_15,click,2024-01-15,{}
interaccion_28,user_88,producto_42,review,2024-03-06,{}
interaccion_29,user_40,producto_47,compra,2023-10-29,{}
interaccion_30,user_110,producto_48,click,2024-04-29,{}
interaccion_31,user_94,producto_7,review,2024-02-14,{}
interaccion_32,user_86,producto_73,review,2023-07-23,{}
interaccion_33,user_6,producto_45,click,2023-09-04,{}
interaccion_34,user_38,producto_16,review,2024-02-25,{}
interaccion_35,user_88,producto_70,click,2023-07-05,{}
interaccion_36,user_13,producto_113,compra,2023-12-10,{}
interaccion_37,user_72,producto_47,click,2024-05-26,{}
interaccion_38,user_64,producto_5,review,2024-05-01,{}
interaccion_39,user_32,producto_41,click,2023-06-18,{}
interaccion_40,user_47,producto_49,click,2023-11-04,{}
interaccion_41,user_59,producto_88,review,2024-04-08,{}
interaccion_42,user_110,producto_29,compra,2023-06-28,{}
interaccion_43,user_73,producto_36,click,2023-09-24,{}
interaccion_44,user_27,producto_35,review,2023-09-29,{}
interaccion_45,user_76,producto_34,compra,2024-03-25,{}
interaccion_46,user_81,producto_9,click,2023-12-08,{}
interaccion_47,user_109,producto_115,click,2024-05-16,{}
interaccion_48,user_64,producto_66,review,2024-04-12,{}
interaccion_49,user_62,producto_114,review,2024-04-12,{}
interaccion_50,user_118,producto_58,compra,2023-11-16,{}
interaccion_51,user_14,producto_56,compra,2023-12-29,{}
interaccion_52,user_58,producto_85,compra,2024-02-24,{}
interaccion_53,user_28,producto_118,compra,2024-05-08,{}
interaccion_54,user_101,producto_33,compra,2024-04-14,{}
interaccion_55,user_73,producto_37,click,2023-08-22,{}
