producto_id,nombre,categoría,precio,descripcion,calificaciones,disponibilidad,especificaciones
producto_0,Balón de fútbol,deportes,25.99,Balón de fútbol profesional,[],True,"{'color': 'blanco', 'tamaño': '5'}"
producto_1,Camiseta deportiva,deportes,19.99,Camiseta deportiva de alta calidad,[],True,"{'tamaño': 'M', 'material': 'poliéster'}"
producto_2,Laptop,tecnología,799.99,Laptop con procesador Intel i7,[],True,"{'RAM': '16GB', 'disco_duro': '512GB SSD'}"
producto_3,Libro de cocina,cocina,15.99,Libro de recetas gourmet,[],True,"{'páginas': '200', 'idioma': 'español'}"
producto_4,Teléfono móvil,tecnología,699.99,Teléfono móvil con cámara de 48MP,[],True,"{'pantalla': '6.5 pulgadas', 'batería': '4000mAh'}"
producto_5,Auriculares inalámbricos,tecnología,199.99,Auriculares con cancelación de ruido,[],True,"{'color': 'negro', 'batería': '30 horas'}"
producto_6,Zapatillas deportivas,deportes,49.99,Zapatillas deportivas cómodas y ligeras,[],True,"{'tamaño': '42', 'material': 'sintético'}"
producto_7,Cámara fotográfica,tecnología,599.99,Cámara fotográfica profesional con lente intercambiable,[],True,"{'resolución': '24MP', 'video': '4K'}"
producto_8,Batidora de mano,cocina,29.99,Batidora de mano con múltiples velocidades,[],True,"{'potencia': '600W', 'color': 'blanco'}"
producto_9,Monitor 4K,tecnología,399.99,Monitor 4K UHD de 27 pulgadas,[],True,"{'resolución': '3840x2160', 'puertos': 'HDMI, DisplayPort'}"
producto_10,Cafetera de cápsulas,cocina,89.99,Cafetera de cápsulas con función de autoapagado,[],True,"{'capacidad': '1L', 'color': 'negro'}"
producto_11,Mochila para portátil,moda,49.99,Mochila para portátil resistente al agua,[],True,"{'tamaño': '15 pulgadas', 'material': 'nylon'}"
producto_12,Reloj inteligente,tecnología,199.99,Reloj inteligente con monitoreo de salud,[],True,"{'pantalla': 'AMOLED', 'batería': '2 semanas'}"
producto_13,Bicicleta de montaña,deportes,299.99,Bicicleta de montaña con marco de aluminio,[],True,"{'tamaño': '26 pulgadas', 'velocidades': '21'}"
producto_14,Set de cuchillos de cocina,cocina,49.99,Set de cuchillos de cocina de acero inoxidable,[],True,"{'piezas': '5', 'material': 'acero inoxidable'}"
producto_15,Teclado mecánico,tecnología,89.99,Teclado mecánico retroiluminado,[],True,"{'tipo_switch': 'rojo', 'conectividad': 'USB'}"
producto_16,Set de maletas de viaje,viajes,199.99,Set de maletas de viaje rígidas,[],True,"{'piezas': '3', 'material': 'ABS'}"
producto_17,Cámara de acción,tecnología,129.99,Cámara de acción resistente al agua,[],True,"{'resolución': '1080p', 'batería': '2 horas'}"
producto_18,Silla ergonómica,tecnología,299.99,Silla ergonómica de oficina con soporte lumbar,[],True,"{'material': 'malla', 'ajustes': 'altura, inclinación'}"
producto_19,Parrilla eléctrica,cocina,59.99,Parrilla eléctrica antiadherente,[],True,"{'potencia': '1200W', 'superficie': '30x25 cm'}"
